Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
ACERW,Acer Therapeutics Inc.,0.0485,0,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acerw
ACET,Aceto Corporation,11.27,339333129.6,n/a,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/acet
AKAO,"Achaogen, Inc.",13.88,586198273.4,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akao
ACHV,"Achieve Life Sciences, Inc. ",1.9166,21611146.53,n/a,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/achv
ACHN,"Achillion Pharmaceuticals, Inc.",4.15,567560660.8,n/a,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn
ACRS,"Aclaris Therapeutics, Inc.",26.09,697555728.5,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrs
ACOR,"Acorda Therapeutics, Inc.",27.2,1268899013,n/a,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor
ATNM,"Actinium Pharmaceuticals, Inc.",0.725,58014915.43,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/atnm
ADMS,"Adamas Pharmaceuticals, Inc.",19.26,433621103.8,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adms
ADMP,Adamis Pharmaceuticals Corporation,5.35,167729636.9,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/admp
ADAP,Adaptimmune Therapeutics plc,7.15,408205390.5,57091663,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adap
ADUS,Addus HomeCare Corporation,34.75,403952626,n/a,2009,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/adus
ADMA,ADMA Biologics Inc,3.05,52466844.2,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adma
ADRO,"Aduro Biotech, Inc.",9.2,686434530.8,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adro
AAAP,Advanced Accelerator Applications S.A.,73.56,3073590508,41783449,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aaap
ADXS,"Advaxis, Inc.",3.79,155639514.7,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxs
ADXSW,"Advaxis, Inc.",1.3,0,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxsw
ADVM,"Adverum Biotechnologies, Inc.",3.475,150421581.4,n/a,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/advm
AGLE,"Aeglea BioTherapeutics, Inc.",5.05,83083913,n/a,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agle
AERI,"Aerie Pharmaceuticals, Inc.",65.1,2365774492,n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aeri
AEZS,AEterna Zentaris Inc.,2.03,33374742.8,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aezs
AET,Aetna Inc.,160.84,53414964000,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aet
GNMX,"Aevi Genomic Medicine, Inc.",1.73,64200374.39,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/gnmx
AFMD,Affimed N.V.,2.15,94467510.55,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/afmd
AGEN,Agenus Inc.,4.33,431754280.7,n/a,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/agen
AGRX,"Agile Therapeutics, Inc.",4.99,170658000,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agrx
AGIO,"Agios Pharmaceuticals, Inc.",67.25,3254307797,n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agio
ALRN,"Aileron Therapeutics, Inc.",13.58,199827201.3,n/a,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alrn
AIMT,"Aimmune Therapeutics, Inc.",25.66,1296729049,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aimt
AKTX,Akari Therapeutics Plc,4.54,53246559.18,11728317,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aktx
AKCA,"Akcea Therapeutics, Inc.",18.44,1227027639,n/a,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akca
AKBA,"Akebia Therapeutics, Inc.",17.88,843067550.5,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akba
AKER,Akers Biosciences Inc,0.8207,7305251.772,n/a,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/aker
AKRX,"Akorn, Inc.",33.28,4157224947,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akrx
ALBO,"Albireo Pharma, Inc.",28.14,249952199.3,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/albo
ADHD,Alcobra Ltd.,1.59,43824844.05,n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adhd
ALDR,"Alder BioPharmaceuticals, Inc.",11.5,778706779.5,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldr
ALDX,"Aldeyra Therapeutics, Inc.",6.75,102263688,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldx
ALXN,"Alexion Pharmaceuticals, Inc.",139.02,31027212760,n/a,1996,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxn
ALGN,"Align Technology, Inc.",200.88,16100651323,n/a,2001,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/algn
ALIM,"Alimera Sciences, Inc.",1.38,95289833.52,n/a,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alim
ALKS,Alkermes plc,50.58,7771962815,n/a,1991,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alks
AGN,Allergan plc.,188.28,62943169265,n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agn
AHPI,"Allied Healthcare Products, Inc.",2.0301,8147881.464,n/a,1992,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/ahpi
ALQA,"Alliqua BioMedical, Inc.",3.2365,1621661.271,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/alqa
AFAM,Almost Family Inc,47.55,663989674.1,n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/afam
ALNY,"Alnylam Pharmaceuticals, Inc.",114.7,10521817424,n/a,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alny
APT,"Alpha Pro Tech, Ltd.",3.95,59666807.95,n/a,n/a,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/apt
ATEC,"Alphatec Holdings, Inc.",4.15,57195565.6,n/a,2006,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atec
ALPN,"Alpine Immune Sciences, Inc.",11.03,43172114.89,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alpn
ALT,"Altimmune, Inc.",2.66,41459127.08,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alt
AMAG,"AMAG Pharmaceuticals, Inc.",15.6,550498759.2,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amag
AMRN,Amarin Corporation plc,3.4,897199786,263882290,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amrn
AMDA,Amedica Corporation,0.3598,13048104.18,n/a,2014,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/amda
AMED,Amedisys Inc,50.27,1702247566,n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amed
ARA,"American Renal Associates Holdings, Inc",13.1,409839591.5,n/a,2016,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/ara
AMS,American Shared Hospital Services,3.0999,17700429,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/ams
ABC,AmerisourceBergen Corporation (Holding Co),83.21,18232273324,n/a,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/abc
AMGN,Amgen Inc.,182.96,1.33501E+11,n/a,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/amgn
FOLD,"Amicus Therapeutics, Inc.",13.59,2236452878,n/a,2007,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fold
AMPH,"Amphastar Pharmaceuticals, Inc.",18.5,854624927,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amph
AMPE,"Ampio Pharmaceuticals, Inc.",1.09,74373325.81,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ampe
APHB,AmpliPhi Biosciences Corporation,1.27,11775772.74,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aphb
ANAB,"AnaptysBio, Inc.",64.67,1315548440,n/a,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anab
AVXL,Anavex Life Sciences Corp.,4.84,204112915.6,n/a,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/avxl
ANGO,"AngioDynamics, Inc.",17.62,646931268.3,n/a,2004,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ango
ANIP,"ANI Pharmaceuticals, Inc.",59.09,688356309.7,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anip
ANIK,Anika Therapeutics Inc.,59.81,876721296.4,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/anik
ATRS,"Antares Pharma, Inc.",2.18,340967955.4,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atrs
ANTM,"Anthem, Inc.",194.69,51122613101,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/antm
ANTX,"Anthem, Inc.",51.6246,13679807097,n/a,2015,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/antx
ANTH,"Anthera Pharmaceuticals, Inc.",1.66,18104660.52,n/a,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anth
APEN,"Apollo Endosurgery, Inc.",4.44,76600207.56,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/apen
AGTC,Applied Genetic Technologies Corporation,4.05,73255529.25,n/a,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/agtc
APRI,"Apricus Biosciences, Inc.",1.82,23266445.02,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/apri
APVO,Aptevo Therapeutics Inc.,2.36,50549680.16,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/apvo
APTO,"Aptose Biosciences, Inc.",1.43,34557766.1,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/apto
AQXP,"Aquinox Pharmaceuticals, Inc.",12.74,298940430.9,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aqxp
ARDM,Aradigm Corporation,4.93,74502544.54,n/a,1996,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/ardm
ARLZ,Aralez Pharmaceuticals Inc.,1.46,96156700.84,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/arlz
PETX,"Aratana Therapeutics, Inc.",6.14,264031045.9,n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/petx
ABUS,Arbutus Biopharma Corporation,6.5,360925467.5,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abus
ABIO,"ARCA biopharma, Inc.",1.25,18005230,n/a,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/abio
ARDX,"Ardelyx, Inc.",5.5,260948264.5,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ardx
ARNA,"Arena Pharmaceuticals, Inc.",27.28,1069928284,n/a,2000,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/arna
ARGX,argenx SE,23.31,163745547.2,7024691,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/argx
ARGS,"Argos Therapeutics, Inc.",0.1674,9202771.309,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/args
ARQL,"ArQule, Inc.",1.11,94472324.22,n/a,1996,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/arql
ARRY,Array BioPharma Inc.,11.08,1903169751,n/a,2000,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/arry
ARWR,"Arrowhead Pharmaceuticals, Inc.",3.87,289368038.6,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/arwr
ASND,Ascendis Pharma A/S,35.07,987488049,28157629,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/asnd
ASMB,"Assembly Biosciences, Inc.",31.24,540452000,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/asmb
AST,"Asterias Biotherapeutics, Inc.",2.75,137634128.5,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/ast
AZN,Astrazeneca PLC,34.62,87651874420,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/azn
ATRA,"Atara Biotherapeutics, Inc.",14.6,446167605,n/a,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/atra
ATNX,"Athenex, Inc.",17.13,977499622.2,n/a,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/atnx
ATHX,"Athersys, Inc.",1.99,226683504.9,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/athx
ATOS,Atossa Genetics Inc.,0.48,5616516,n/a,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/atos
ATRC,"AtriCure, Inc.",22.83,783848941.3,n/a,2005,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atrc
ATRI,Atrion Corporation,675,1249993350,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atri
LIFE,"aTyr Pharma, Inc.",5.1,151526747.7,n/a,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/life
BOLD,"Audentes Therapeutics, Inc.",24.98,694048017,n/a,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/bold
AUPH,Aurinia Pharmaceuticals Inc,6.15,516431902.1,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/auph
EARS,Auris Medical Holding AG,0.7897,35007167.25,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ears
AVDL,Avadel Pharmaceuticals plc,10.23,414671024.5,40534802,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/avdl
ATXI,"Avenue Therapeutics, Inc.",4.55,45686586.4,n/a,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/atxi
AVEO,"AVEO Pharmaceuticals, Inc.",3.18,376218867.6,n/a,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aveo
AVXS,"AveXis, Inc.",100.06,3194460127,n/a,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/avxs
AVGR,"Avinger, Inc.",0.35,8369908.4,n/a,2015,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/avgr
AVIR,"Aviragen Therapeutics, Inc.",0.7602,29381149.97,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/avir
AXGN,"AxoGen, Inc.",20,664802940,n/a,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/axgn
AXON          ,Axovant Sciences Ltd.,5.68,610747254,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/axon
AXSM,"Axsome Therapeutics, Inc.",5,118054835,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/axsm
AZRX,"AzurRx BioPharma, Inc.",3.51,39425885.46,n/a,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/azrx
BAX,Baxter International Inc.,63.59,34648341421,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/bax
BDX,"Becton, Dickinson and Company",211.83,48205087383,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/bdx
BDXA,"Becton, Dickinson and Company",57.56,0,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/bdxa
BGNE,"BeiGene, Ltd.",84.03,1873621112,22297050,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bgne
BLPH,"Bellerophon Therapeutics, Inc.",1.45,51489839.3,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/blph
BLCM,"Bellicum Pharmaceuticals, Inc.",10.39,345223532.4,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/blcm
BNTC,Benitec Biopharma Limited,2.54,4437364.76,1746994,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bntc
BNTCW,Benitec Biopharma Limited,0.3499,0,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bntcw
BYSI,"BeyondSpring, Inc.",28.99,662275448.4,n/a,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bysi
BASI,"Bioanalytical Systems, Inc.",1.8869,15545972.86,n/a,1997,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/basi
ORPN,Bioblast Pharma Ltd.,2.17,7252704.2,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/orpn
BIOC,"Biocept, Inc.",1.07,32371505.01,n/a,2014,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/bioc
BCRX,"BioCryst Pharmaceuticals, Inc.",4.8,471987734.4,n/a,1994,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/bcrx
BDSI,"BioDelivery Sciences International, Inc.",2.95,163654117.4,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bdsi
BIIB,Biogen Inc.,338.1,71485073323,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/biib
BHVN,Biohaven Pharmaceutical Holding Company Ltd.,31.67,1137925206,n/a,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bhvn
BIOL,"Biolase, Inc.",0.68,51664209.72,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/biol
BLFS,"BioLife Solutions, Inc.",6.43,85056335.78,n/a,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/blfs
BLRX,BioLineRx Ltd.,1.14,79328730.84,69586606,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/blrx
BMRN,BioMarin Pharmaceutical Inc.,87.75,15379795168,n/a,1999,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bmrn
BMRA,"Biomerica, Inc.",2.8304,24115497.66,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/bmra
BVXV,BiondVax Pharmaceuticals Ltd.,7.62,10535160.54,1382567,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/bvxv
BVXVW,BiondVax Pharmaceuticals Ltd.,1.84,0,n/a,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/bvxvw
BPTH,"Bio-Path Holdings, Inc.",0.45,45025644.6,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bpth
BPMX,BioPharmX Corporation,0.2449,19511142.59,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bpmx
BIOS,"BioScrip, Inc.",2.43,309764799.2,n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/bios
BSTC,BioSpecifics Technologies Corp,47.46,340014498.2,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bstc
BSPM,"Biostar Pharmaceuticals, Inc.",1.74,4633014.48,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bspm
TECH,Bio-Techne Corp,124.25,4646105473,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/tech
BEAT,"BioTelemetry, Inc.",31.15,1008016990,n/a,2008,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/beat
BTX,"BioTime, Inc.",2.64,334915006.8,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/btx
BIVV,Bioverativ Inc.,60.22,6514722629,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bivv
BLUE,"bluebird bio, Inc.",142.55,6498766832,n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/blue
BPMC,Blueprint Medicines Corporation,64.93,2540214121,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bpmc
BSX,Boston Scientific Corporation,29.69,40738451936,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/bsx
BVX,Bovie Medical Corporation,3.99,123130414.5,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/bvx
BCLI,Brainstorm Cell Therapeutics Inc.,4.24,79893158.24,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/bcli
BMY,Bristol-Myers Squibb Company,64.42,1.05644E+11,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bmy
BKD,Brookdale Senior Living Inc.,10.45,1946612007,n/a,2005,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/bkd
BCR,"C.R. Bard, Inc.",330.16,23993235977,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/bcr
CLBS,"Caladrius Biosciences, Inc.",3.35,31580453.35,n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/clbs
CALA,"Calithera Biosciences, Inc.",16.45,583591402.5,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cala
CBM,Cambrex Corporation,52.55,1719941846,n/a,1987,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cbm
CGIX,"Cancer Genetics, Inc.",2.75,64802542.75,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/cgix
CANF,Can-Fite Biopharma Ltd,1.65,26985667.5,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/canf
CMD,Cantel Medical Corp.,98.32,4102643966,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/cmd
CSU,Capital Senior Living Corporation,12.92,391992515.8,n/a,1997,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/csu
CAPR,"Capricor Therapeutics, Inc.",2.3,54041372.7,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/capr
CARA,"Cara Therapeutics, Inc.",12.43,404987858.6,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cara
CAH,"Cardinal Health, Inc.",66.71,21028051155,n/a,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/cah
CRME,Cardiome Pharma Corporation,1.79,60571849.38,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/crme
CSII,"Cardiovascular Systems, Inc.",26.34,871464220.7,n/a,1981,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/csii
CDNA,"CareDx, Inc.",5.85,161206338.2,n/a,2014,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/cdna
CASM,"CAS Medical Systems, Inc.",0.8,22588557.6,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/casm
CASC,"Cascadian Therapeutics, Inc.",4.32,218389806.7,n/a,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/casc
